#Front	Back	Pronunciation
Добрый день (утро)	Dzien dobry	Джень добры
Добрый вечер, ночь	Dobry wieczyr	Добры вечур
Приветствую	Witam	Витам
Привет (для друзей)	Czesc	Чещч
Как поживаешь?	Jak sie masz?	Як ще маш?
До свидания	Do widzenia	До видзеня
Прощай	Zegnaj	Жегнай
Пока	Na razie	На раже
Всего доброго	Wszystkiego dobrego	Вшисткего добрэго
Счастливого пути	Szcze,s’liwej podro’zy	щченcълuвэй подружы
Да	Так	Так
Нет	Nie	Не
Да, пожалуйста	Так, prosze	Так проше
Конечно	Owszem	Овшем
Нельзя (этого делать)	Niewolno	Невольно
Не знаю	Nie wiem	Не вем
Не понимаю	Nie rozumiem	Не розумем
Извините, я не понимаю по-польски	Przepraszam, nie rozumiem po polsku	Пшэпрашам, не розумем по польску
Пожалуйста (в ответ на извините)	Prosze	Проше
Спасибо	Dziekuje, dzieki	Дженкуе, дженьки
Большое спасибо	Dziekuje bardzo	Дженкуе бардзо
Пожалуйста (в ответ на спасибо)	Prosze bardzo	Проше бардзо
Не за что	Nie ma za со	Не ма за цо
Что это?	Co to jest?	Цо то ест
Извините	Przepraszam	Пшепрашам
Входите, пожалуйста	Prosze wejsc	Проше вейщч
Что там находится?	Co tam jest?	Цо там ест?
Винный погребок	Winiarnia	винярня
Где?	Gdzie?	Гдзе?
Когда?	Kiedy?	Кеды?
Как называется это улица?	Jak sie nazywa ta ulica?	Як ще называ та улица?
Где находится гостиница Н, музей М	Gdzie jest hotel N, muzeum M?	Гдзе ест хотэл Н, музеум М?
Где находится обменный пункт?	Gdzie jest kantor?	Гдзе ест кантор?
Где здесь ближайший банкомат?	Gdzie jest najblizszy bankomat?	Гдзе ест найближши банкомат?
Осторожно!	Ostroz’nie!	острожне
Простите, не расслышал? (короткая разговорная форма)	Prosze?	Проше
Вы ошиблись	Pan/Pani sie pomylil (-la)	Пан (Пани) ще помылил (-ла)
Имя, фамилия	Imie, nazwisko	Име, назвиско
Я приехал(-а) в Краков на 4 дня	Przyjechalem(-lam) do Krakowa na 4 dni	Пшиехалэм(-ам) до Кракова на чтэры дни
Я русский(-ая), из России	Jestem Rosjaninem (Rosjanka), z Rosji	Естэм росьянинэм (-кой), з Росьи
Я из Москвы	Jestem z Moskwy	Естэм з Москвы
Я студент, инженер	Jestem studentem, inzynierem	Естэм студэнэм, ижинерэм
Меня зовут Николай	Mam na imie Nikolaj	Мам на име Николай
Я работаю журналистом	Pracuje jako dziennikarz	Працуе яко дженикаж
У меня есть чек на 1000 зл. Смогу ли я обменять его здесь на границе?	Mam czek nа 1000 zl’. Czy moge, go zrealizowac’ tu na granicy?	мам чэк на тыщёнц злотых чы могэ го зрэализоваць ту на границы?
Дайте, пожалуйста, 900 зл. банкнотами, а остальное мелкими.	Prosze, о 900 zl’ w banknotach	a reszte, w bilonie
Какие купюры вы желаете, крупные или мелкие?	Czy woli pan(i) duz’e banknoty, czy drobne?	чы воли пан(и) дужэ банкноты чы дробнэ?
Я хочу обменять 100 рублей на польские деньги.	Chcial’bym wymienic’ 100 rubli na polskie pienia,dze	хчялбым выменичь сто рубли на польске пенёндзэ
В окошке № 5	Przy okienku nr (numer) 5	пши окенку нумер пеньчь
Где находится бюро обмена денег?	Gdzie tu jest biuro wymiany?	гдже ту ест бюро вымяны?
У меня с собой тысяча злотых и двести рублей	Mam przy sobie 1000 zl’ (zl’otych) i 200 rb (rubli)	мам пши собе тыщёнц злотых и двещче рубли
Это большая сумма	То duz’a suma	то дюжа сума
У меня мало денег	Mam mal’o pienie,dzy	мам мало пенендзы
У меня есть деньги	Mam pienia,dze	мам пенёндзэ
У меня нет денег	Nie mam pienie,dzy	не мам пенендзы
Есть ли у вас деньги?	Сzу mа pan(i) pienia,dze?	чы ма пан(и) пенёндзэ?
монеты	monety	монэты
банкноты	banknoty	банкноты
злотые, гроши	zl’ote	grosze
злотый = 100 грошам	zl’oty = 100 groszom	злоты рувна ще” ста грошом
Польская валюта	Waluta polska	валюта польска
Предъявите, пожалуйста, ваш паспорт	Prosze, okazac’ paszport	прошэ оказачь пашпорт
Распишитесь, вот здесь	Prosze, tu podpisac’	прошэ ту потписачь
Сколько вам лет?	lie pan(i) ma lat?	иле пан(и) ма лят?
Сколько тебе лет?	lie masz lat?	иле маш лят?
Мне исполнилось 18 лет	Skon’czyl’em(-am) osiemnas’cie lat	сконъчылэм(-ам) ощемнащче лят
Мне 20 лет	Маm dwadzies’cia lat	мам дваджещьчя лят
Вскоре мне исполнится 23 года	Wkro’tce bede mial’(a) dwadzies’cia trzy lata	фкрутцэ бэндэ мял(а) дваджещчя чши лята
малолетний	mal’oletnl (-a)	малолетни (-я)
молодой (-ая), молодость	ml’ody (-a), ml’odos’c’	млады (-а) млодощчи
совершеннолетний	pel’noletni (-а)	пэлнолетни
Кто это?	Kto to jest?	Кто то ест?
Это…	To jest…	То ест
дочь	co’rka	цурка
дедушка	dziadek	dziadek
ребёнок	dziecko	dziecko
девочка	dziewczynka	джефчинка
племянник	kuzyn	кузын
мать	matka	матка
отец	ojciec	ойчец
родители	rodzice	роджицэ
шурин	szwagier	швагер
сын	syn	сын
